	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
VT0022_0590	8	39	13	29	17	1	3	3	7	3	9	9	5	1	5	1	2	70	25	38.7	29.5	50	53	17.6	5	25	13	3	1	385
VT0025_0593	7	40	14	26	10	2	3	5	5	3	9	9	7	1	5	1	2	60	26	29.4	41.1	51	46	12.4	7	21	10	3	10	270
VT0027_0596	8	39	14	28	15	1	3	3	5	3	9	9	7	1	7	1	2	62	17	62.7	86.1	129	77	31.7	7	24	12	3	11	375
VIR0597	8	39	15	26	13	3	3	3	3	3	7	7	5	7	7	2	2	52	26	13.2	28.4	89	46	14.7	7	20	10	5	11	295
VT0028_0599	8	39	14	28	17	1	3	1	7	3	5	9	7	1	7	2	2	65	27	31.7	24.1	34	37	12	5	24	14	5	1	340
VT0029_0600	9	35	17	26	13	1	3	3	7	3	7	9	7	1	7	1	2	62	27	20.1	20	63	55	18.3	7	22	11	3	1	325
VIR0601	8	39	13	29	16	3	3	5	5	3	5	7	5	7	7	2	1	53	23	14	11.9	31	23	8.5	5	25	12	5	11	275
VT0031_0603	8	45	8	28	15	1	3	3	7	3	7	9	7	1	7	1	2	70	25	83.1	49	71	75	25.8	7	23	12	3	2	380
VIR0605	8	39	13	28	14	1	3	3	5	3	5	7	5	7	7	2	1	56	21	18.4	21.9	46	40	12.7	7	25	12	3	1	315
VT0033_0606	8	40	13	27	12	1	3	1	5	3	7	7	7	1	7	1	2	61	30	44.2	56.1	133	181	40.9	7	20	10	5	1	240
VT0035_0608	8	32	21	27	14	1	3	3	5	3	5	3	7	1	7	2	2	50	22	12.1	21.4	38	27	12	7	22	8	3	1	310
VT0038_0611	8	35	18	28	16	2	3	1	3	3	5	7	7	1	7	2	2	52	20	28.3	25.1	60	54	13.9	7	16	7	3	11	220
VIR0623	8	39	14	27	14	1	3	3	3	3	7	3	7	7	7	1	2	47	19	5.6	10.3	38	26	6.4	7	20	8	5	1	230
VIR0626	8	37	18	26	16	3	5	3	3	7	5	3	7	7	7	1	2	62	25	21.9	19.8	33	23	9.9	5	25	13	3	10	420
VIR0627	8	39	14	28	16	1	3	5	5	3	9	3	7	7	7	2	2	56	18	25	16.2	68	44	12.8	5	25	12	3	1	310
VIR0628	8	39	16	24	17	3	5	5	5	7	7	3	7	7	5	2	1	50	13	29.4	27.3	101	81	17.1	7	20	8	5	1	220
VIR0632	9	38	13	29	17	1	3	3	5	3	5	9	5	7	5	1	1	45	16	26	35.4	82	69	15	7	20	10	5	1	275
VIR0633	8	39	13	27	15	1	3	5	5	3	5	5	7	7	5	2	2	56	27	6.3	15.1	35	18	9.8	5	25	13	5	1	420
VIR0634	8	39	14	28	17	1	3	3	5	3	7	9	7	7	5	2	2	55	17	33.6	24.2	70	43	13.7	5	23	12	5	1	385
VIR0635	8	39	16	26	17	3	5	5	5	7	5	9	7	7	7	2	2	53	26	10.1	7.9	21	20	4	7	25	11	3	11	220
VIR0638	8	39	16	25	15	3	5	5	5	7	7	9	7	7	7	2	2	53	25	5.2	16	48	55	10.4	7	21	10	3	11	225
VIR0641	9	38	14	27	16	1	3	3	5	3	5	9	7	7	5	2	2	46	19	20.4	30.3	74	40	15.6	7	22	12	5	1	340
VIR0642	8	39	16	22	12	3	5	5	5	7	7	9	7	7	5	1	2	48	24	7.2	8.7	27	25	4.5	7	22	10	3	10	230
VIR0643	8	39	14	26	14	1	3	5	5	3	9	9	5	7	5	2	1	56	26	12.5	14.3	43	24	8	7	26	12	5	1	405
VIR0644	8	40	14	25	15	2	3	5	5	3	7	9	5	7	7	2	2	50	19	14.6	18.9	70	42.5	7.1	7	21	10	5	1	155
VIR0647	9	38	8	21	15	1	3	3	5	3	5	9	5	7	7	1	1	50	21	24.1	2.7	12	5	0.8	7	21	10	5	1	200
VIR0668	8	39	14	24	10	3	5	5	5	7	5	7	5	7	5	2	1	50	21	5.2	6	19	24	4	7	24	12	5	10	195
VIR0669	8	39	14	26	18	1	3	3	5	3	5	7	5	7	5	2	1	60	21	25.9	21.2	47	31	10.8	5	25	13	3	1	335
VIR0670	8	39	14	24	12	3	5	5	5	7	3	9	5	7	5	1	1	45	29	6.8	1.5	4	4.5	0.45	7	22	11	3	10	380
VIR0676	8	39	14	28	17	1	3	5	5	3	3	9	5	7	7	2	1	55	26	18.9	5.7	12	4	2.3	3	40	9	5	1	400
VE0113_0687	7	36	19	25	9	3	5	3	5	7	7	7	5	5	5	1	2	60	20	23.5	28.9	86	127	17.6	7	20	8	3	10	185
VE0114_0688	7	36	19	28	17	3	5	3	5	7	7	7	5	5	5	1	2	58	20	17.2	20.9	52	71	12.3	7	20	9	3	10	170
VE0115_0689	7	40	15	26	13	3	5	3	5	7	9	5	5	5	5	1	2	60	27	23.7	16.6	49	57	11.1	7	22	10	3	11	195
VE0116_0690	7	34	20	26	11	3	5	3	5	7	5	9	3	7	7	1	2	51	25	6.5	13.7	38	39	6.7	7	18	9	3	10	150
VIR0691	8	34	19	27	14	3	5	3	5	7	5	9	5	7	5	2	1	45	18	6.6	5.8	34	35	2.9	7	19	7	3	10	105
VE0117_0692	7	35	21	28	19	3	5	3	5	7	5	9	5	7	7	2	2	55	20	11	27.3	80	95	11.8	7	17	9	3	14	125
VE0118_0693	7	36	20	28	19	3	7	3	3	7	5	9	3	7	7	1	2	56	20	14.5	15.3	54	77	11.2	7	19	8	3	10	135
VE0119_0694	7	33	22	27	18	3	5	3	3	7	5	7	3	5	5	1	2	53	20	10.4	11.3	44	63	8	7	19	8	3	10	135
VE0120_0695	7	40	15	27	18	3	7	3	5	7	5	7	3	5	5	1	2	73	30	19.4	12.4	30	43	6.6	7	25	11	3	10	175
VIR0704	7	40	14	27	13	3	5	5	5	7	7	9	5	7	5	1	1	53	19	13.4	10.2	53	44	6.2	7	20	10	3	11	180
VE0121_0726	8	36	18	25	11	3	7	3	5	7	5	9	5	7	7	1	2	51	17	7.9	30.3	66	131	20.6	7	20	9	3	14	165
VE0122_0727	7	36	18	30	19	3	7	3	5	7	5	9	5	7	7	1	2	55	19	10.6	14.6	54	68	9.3	7	18	8	3	11	190
VE0123_0728	8	33	20	28	14	3	7	3	5	7	7	7	5	5	5	1	2	45	13	8	28.3	103	147	17.1	7	19	8	3	11	140
VE0124_0729	8	34	18	29	14	3	7	3	5	7	5	9	5	5	5	1	2	45	13	11	25.4	103	119	14.4	7	18	8	3	11	120
VE0125_0730	7	34	20	28	14	3	7	3	5	7	5	5	3	1	5	1	1	50	27	4.5	6.1	21	35	3.5	7	20	8	3	13	140
VE0126_0731	7	35	20	27	14	3	7	3	5	7	5	9	5	5	5	1	1	45	21	8.6	12.6	48	51	6.5	7	17	8	3	12	160
VE0128_0733	7	40	16	28	19	3	5	3	5	7	7	7	5	1	5	1	1	60	19	14.6	14.2	56	55	8.2	7	19	10	3	14	155
VE0129_0734	7	35	20	25	13	3	5	3	5	7	5	9	3	7	7	2	1	50	22	8.5	11	77	75	11.3	7	20	8	3	12	150
